File label	Full field name	Repeat	Block	Subfields	Notes
BBF Number	BBF Number				
Sale Code	Sale Code				
Lot Sale Date	Lot Sale Date			date	
Sale Begin Date	Sale Begin Date			date	
Sale End Date	Sale End Date			date	
Lugt Number	Lugt Number				
Expert Authority	Expert Authority	yes			
Comm.-Pris.Auth.	Commissaire-Priseur	yes			
Sale Location	Sale Location				
Country	Country				
Lot Number	Lot Number			int	
Verbatim Artist	Verbatim Artist	yes	artist_info		"The fields identified in red repeat in groups.  The first occurrence of Verbatim Artist corresponds to the first occurrence to Artist Brief Name, Artist Authority, etc. through Century Active.  Similarly, the second occurrence of Verbatim Artist (if any) will correspond to the second occurrence of the other fields in this group."
Art. Brief Name	Artist Brief Name	yes	artist_info		
Artist Authority	Artist Authority	yes	artist_info		
Nationality	Nationality	yes	artist_info		
Attribution Mod.	Attribution Modifier	yes	artist_info		
Birth Date	Birth Date	yes	artist_info	date	
Death Date	Death Date	yes	artist_info	date	
Period Active	Period Active	yes	artist_info		
Century Active	Century Active	yes	artist_info		
Title	Title				
Title Modifier	Title Modifier				
Handwritten Note	Handwritten Note	yes			
Hand.Note Source	Handwritten Note Source	yes			
Object Type	Object Type	yes			
Materials	Materials				
Dimensions	Dimensions				
Format	Format				
Inscription	Inscription				
Verbatim Seller	Verbatim Seller	yes			
Verb.Seller Mod.	Verbatim Seller Modifier	yes			
Seller Authority	Seller Authority	yes		name |l location |q questioned	
Seller Auth.Mod.	Seller Authority Modifier	yes			
Transaction	Transaction				
Price	Price			price |c currency|d notes	
Verbatim Buyer	Verbatim Buyer	yes	buyer_info		The fields identified in blue repeat in groups. 
Verb. Buyer Mod.	Verbatim Buyer Modifier	yes	buyer_info		
Buyer Authority	Buyer Authority	yes	buyer_info	name |l location |q questioned	
Buyer Auth. Mod.	Buyer Authority Modifier	yes	buyer_info		
Notes	Notes				
Previous Owner 	Previous Owner 	yes	prev_owner_info		The fields identified in green repeat in groups. 
Prev.Own.Source	Previous Owner Source	yes	prev_owner_info		
Prev.Owner Auth.	Previous Owner Authority	yes	prev_owner_info	name |d date|l location|q questioned	
Previous Sales	Previous Sales	yes		"date |A sale code |B lot|C questioned|D another artist name or title|E owner|F notes"	
Post Sales	Post Sales	yes		date |A sale code |B lot|C questioned|D another artist name or title|E owner|F notes	
Post Owner	Post Owner	yes	post_owner_info		The fields identified in orange repeat in groups. 
Post Own. Source	Post Owner Source	yes	post_owner_info		
Post Owner Auth.	Post Owner Authority	yes	post_owner_info	name |d date|l location|q questioned	
Present Location	Present Location				
City Authority	City Authority				
C'ntry Authority	Country Authority				
